"i","j","k","d_ik","d_ij_plus_jk","excess"
4,8,10,44.8767095956805,42.5354884092448,2.34122118643567
10,8,4,44.8767095956805,42.5354884092448,2.34122118643567
12,11,15,24.8442558675746,22.5863331198409,2.25792274773376
15,11,12,24.8442558675746,22.5863331198409,2.25792274773376
5,1,12,27.7464545209453,25.5254201955872,2.22103432535814
12,1,5,27.7464545209453,25.5254201955872,2.22103432535814
2,8,3,33.8928251784393,31.6942152360111,2.1986099424282
3,8,2,33.8928251784393,31.6942152360111,2.1986099424282
3,1,12,29.7477419688643,27.6290691301179,2.11867283874641
12,1,3,29.7477419688643,27.6290691301179,2.11867283874641
13,12,15,28.6087503651766,26.4951507327552,2.11359963242144
15,12,13,28.6087503651766,26.4951507327552,2.11359963242144
9,2,11,22.3609540666254,20.2647529644811,2.09620110214429
11,2,9,22.3609540666254,20.2647529644811,2.09620110214429
3,1,8,25.7757887231702,23.7515787278068,2.02420999536346
8,1,3,25.7757887231702,23.7515787278068,2.02420999536346
11,12,13,7.02514442198447,5.00410394332362,2.02104047866085
13,12,11,7.02514442198447,5.00410394332362,2.02104047866085
1,8,9,13.388611088015,11.3731037424976,2.0155073455174
9,8,1,13.388611088015,11.3731037424976,2.0155073455174
9,2,12,16.3926179050775,14.4194131418876,1.97320476318989
12,2,9,16.3926179050775,14.4194131418876,1.97320476318989
6,7,15,29.1751918622817,27.4383258595378,1.73686600274385
15,7,6,29.1751918622817,27.4383258595378,1.73686600274385
8,2,14,10.6347656993175,8.90541935024077,1.72934634907669
14,2,8,10.6347656993175,8.90541935024077,1.72934634907669
11,7,15,19.2331240416978,17.5048484394117,1.72827560228604
15,7,11,19.2331240416978,17.5048484394117,1.72827560228604
5,1,8,23.3506014825661,21.647929793276,1.70267168929012
8,1,5,23.3506014825661,21.647929793276,1.70267168929012
1,12,13,14.2297660543992,12.5714993352251,1.65826671917407
13,12,1,14.2297660543992,12.5714993352251,1.65826671917407
10,5,15,45.9713619474151,44.3373083695711,1.63405357784401
15,5,10,45.9713619474151,44.3373083695711,1.63405357784401
